,county,state,Lon,Lat
2372,Wayne,Georgia,-83.9346257,34.1762127
2373,Caribou,Idaho,-111.6052607,42.780196
2374,Jasper,Illinois,-88.1552371,39.0082423
2375,Lee,Illinois,-89.2888533,41.7459056
2376,Mason,Illinois,-89.8660433,40.2302271
2377,Pike,Illinois,-90.8538306,39.6108707
2378,Martin,Indiana,-87.6736335,38.1244879
2379,Union,Indiana,-87.4347408,38.4653254
2380,Grundy,Iowa,-92.7808666,42.4132701
2381,Howard,Iowa,-92.3230007,43.3353641
2382,Lee,Iowa,-91.507313,40.6524894
2383,Mills,Iowa,-95.6087477,41.0171392
2384,Greenwood,Kansas,-96.2471338,37.8709542
2385,Jewell,Kansas,-98.2255146,39.795263
2386,Caldwell,Kentucky,-84.3913267,38.806734
2387,Clinton,Kentucky,-88.9933965,36.6672813
2388,Ohio,Kentucky,-84.3572569,39.0352576
2389,Perry,Kentucky,-83.1640699,37.2203608
2390,McLeod,Minnesota,-94.2495251,44.8169135
2391,Polk,Minnesota,-96.4193484,47.6554613
2392,Nodaway,Missouri,-94.8723663,40.3483437
2393,Beaverhead,Montana,-112.9537553,45.1708403
2394,Cherry,Nebraska,-101.1503042,42.5560174
2395,Unknown,New Hampshire,-71.3803546,44.5286176
2396,Lincoln,New Mexico,-105.4158806,33.7525727
2397,Los Alamos,New Mexico,-106.28970107056452,35.893533500000004
2398,Ashe,North Carolina,-76.584512,36.023891
2399,Warren,North Carolina,-81.374976,36.195746
2400,Adams,Ohio,-84.5119226,39.3211421
2401,Tillman,Oklahoma,-98.9354765,34.3835721
2402,Sullivan,Pennsylvania,-76.5117017,41.4402556
2403,Wyoming,Pennsylvania,-75.8374174,41.3117471
2404,Stewart,Tennessee,-87.8414143,36.3206104
2405,Andrews,Texas,-102.6042447,32.2690953
2406,Hemphill,Texas,-100.2564532,35.8293476
2407,Hutchinson,Texas,-101.34844,35.8148236
2408,Mason,Texas,-99.2233284,30.705029
2409,Trinity,Texas,-95.1219348,31.0834452
2410,Tyler,Texas,-95.3010624,32.3512601
2411,Charlotte,Virginia,-78.6523968,37.0416273
2412,Staunton city,Virginia,-79.072557,38.1495947
2413,Wahkiakum,Washington,-123.3452562,46.2794223
2414,Manitowoc,Wisconsin,-87.6575841,44.0886059
2415,Shawano,Wisconsin,-88.6089917,44.7822064
2416,Crook,Wyoming,-104.5816096,44.5746536
2417,Phillips,Arkansas,-90.8331287,34.4427373
2418,Yell,Arkansas,-93.4283105,34.9906072
2419,Crawford,Georgia,-83.154596,33.8828954
2420,Boone,Illinois,-88.8235511,42.321246
2421,Calhoun,Illinois,-90.6506113,39.1397507
2422,Gallatin,Illinois,-88.2264519,37.7509507
2423,Daviess,Indiana,-87.0813484,38.6776099
2424,Clarke,Iowa,-93.7842976,41.0152092
2425,Hamilton,Iowa,-93.7083849,42.382945
2426,Geary,Kansas,-96.7619968,38.9885445
2427,Republic,Kansas,-97.6580834,39.8266503
2428,Wabaunsee,Kansas,-96.1991241,38.9468399
2429,Adair,Kentucky,-86.8266569,37.9506102
2430,Carter,Kentucky,-83.1207313,38.4289683
2431,Greenup,Kentucky,-82.8301677,38.5731349
2432,Johnson,Kentucky,-83.9781162,38.4820077
2433,Leslie,Kentucky,-85.4519094,36.7795052
